vendor_name,product_category,sku_id,origin_region,destination_dc,shipping_route,order_status,delay_reason,date_offset,order_value_eur,delivery_delay_days,cost_variance_pct
SolVita Mediterranean,Beverages,SKU-118,Italy,DC-München,Suez-Canal,Partially-Delivered,On-Time,-525,12053.64,8,1.9
SolVita Mediterranean,Beverages,SKU-170,Thailand,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-436,4450.64,2,2.7
Hartmann Foods GmbH,Sauces & Condiments,SKU-146,Vietnam,DC-Stuttgart,Suez-Canal,Partially-Delivered,On-Time,-642,23378.48,2,0.9
SolVita Mediterranean,Canned Goods,SKU-014,Germany,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-513,25755.9,1,6.1
PacRim Ingredients,Canned Goods,SKU-120,Germany,DC-Mülheim,Hormuz-Strait,Delivered,Customs-Hold,-511,18045.93,2,3.9
SolVita Mediterranean,Sauces & Condiments,SKU-069,Germany,DC-Berlin,Direct-EU,Partially-Delivered,Customs-Hold,-678,19839.69,1,0.1
Hartmann Foods GmbH,Sauces & Condiments,SKU-117,Turkey,DC-Berlin,Suez-Canal,Delivered,On-Time,-395,24920.83,1,1.5
PacRim Ingredients,Snacks & Nuts,SKU-069,Greece,DC-Hamburg,Suez-Canal,Delivered,Route-Diversion,-139,25467.99,5,2.6
SolVita Mediterranean,Sauces & Condiments,SKU-030,Italy,DC-Hamburg,Air-Freight,Delivered,On-Time,-274,24765.16,1,5.5
Hartmann Foods GmbH,Sauces & Condiments,SKU-183,Germany,DC-Hamburg,Direct-EU,Delayed,On-Time,-337,17686.07,11,3.1
SolVita Mediterranean,Rice & Grains,SKU-030,Turkey,DC-Mülheim,Suez-Canal,Delayed,Carrier-Shortage,-201,56387.04,7,1.3
Hartmann Foods GmbH,Rice & Grains,SKU-052,Vietnam,DC-Mülheim,Hormuz-Strait,Delayed,On-Time,-335,30241.57,5,3.6
PacRim Ingredients,Canned Goods,SKU-174,Vietnam,DC-Hamburg,Air-Freight,In-Transit,Port-Congestion,-55,6846.16,17,11.9
Hartmann Foods GmbH,Canned Goods,SKU-030,Greece,DC-München,Cape-of-Good-Hope,Delayed,Customs-Hold,-115,14283.45,7,5.7
PacRim Ingredients,Beverages,SKU-126,China,DC-Mülheim,Direct-EU,Delayed,On-Time,-421,22474.92,0,3.2
Hartmann Foods GmbH,Baking Ingredients,SKU-186,China,DC-Berlin,Cape-of-Good-Hope,Cancelled,Customs-Hold,-361,37918.8,2,2.2
SolVita Mediterranean,Baking Ingredients,SKU-064,Greece,DC-Berlin,Suez-Canal,In-Transit,Port-Congestion,-610,13151.99,9,0.5
Hartmann Foods GmbH,Canned Goods,SKU-154,Turkey,DC-Hamburg,Cape-of-Good-Hope,Partially-Delivered,On-Time,-315,155497.24,5,6.2
Hartmann Foods GmbH,Rice & Grains,SKU-195,China,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-589,31422.69,3,2.3
Hartmann Foods GmbH,Canned Goods,SKU-192,Spain,DC-Stuttgart,Air-Freight,Delivered,On-Time,-404,28021.18,1,6.4
SolVita Mediterranean,Snacks & Nuts,SKU-084,Thailand,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-186,10666.83,1,3.9
PacRim Ingredients,Snacks & Nuts,SKU-134,Spain,DC-Hamburg,Suez-Canal,Delayed,Route-Diversion,-115,18987.5,5,10.4
PacRim Ingredients,Rice & Grains,SKU-159,Greece,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-34,10430.04,2,8.3
SolVita Mediterranean,Snacks & Nuts,SKU-139,Italy,DC-Berlin,Direct-EU,In-Transit,On-Time,-627,42583.49,5,3.5
Hartmann Foods GmbH,Cooking Oils,SKU-074,China,DC-Mülheim,Air-Freight,Delivered,Port-Congestion,-670,6916.06,1,4
Hartmann Foods GmbH,Snacks & Nuts,SKU-159,Spain,DC-Mülheim,Hormuz-Strait,In-Transit,Route-Diversion,-262,33106.05,9,4
SolVita Mediterranean,Cooking Oils,SKU-102,Thailand,DC-Mülheim,Cape-of-Good-Hope,Delayed,On-Time,-149,85299.33,7,2.7
SolVita Mediterranean,Cooking Oils,SKU-083,Italy,DC-Stuttgart,Hormuz-Strait,Partially-Delivered,Port-Congestion,-375,15157.4,2,2.6
SolVita Mediterranean,Baking Ingredients,SKU-064,Turkey,DC-Stuttgart,Direct-EU,Delivered,On-Time,-378,11414.8,4,1.8
PacRim Ingredients,Canned Goods,SKU-080,Greece,DC-München,Air-Freight,Delayed,On-Time,-304,17276.22,7,3.4
SolVita Mediterranean,Baking Ingredients,SKU-080,Germany,DC-Hamburg,Hormuz-Strait,Delivered,Carrier-Shortage,-398,32820.34,2,1.8
SolVita Mediterranean,Sauces & Condiments,SKU-093,China,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-506,3243.12,1,2.5
Hartmann Foods GmbH,Sauces & Condiments,SKU-013,Italy,DC-Stuttgart,Cape-of-Good-Hope,Partially-Delivered,On-Time,-273,18067.29,10,5.2
SolVita Mediterranean,Beverages,SKU-008,Spain,DC-Mülheim,Air-Freight,Delivered,On-Time,-294,56566.18,1,4.2
PacRim Ingredients,Canned Goods,SKU-053,Turkey,DC-München,Air-Freight,In-Transit,On-Time,-481,16589.75,2,3.1
Hartmann Foods GmbH,Cooking Oils,SKU-108,Spain,DC-Berlin,Hormuz-Strait,In-Transit,Port-Congestion,-595,56583.34,3,2.8
SolVita Mediterranean,Snacks & Nuts,SKU-195,Italy,DC-Berlin,Direct-EU,In-Transit,On-Time,-361,11952.35,5,1.7
SolVita Mediterranean,Beverages,SKU-143,Vietnam,DC-Berlin,Suez-Canal,Delivered,On-Time,-633,10932.94,0,1.8
SolVita Mediterranean,Canned Goods,SKU-100,Spain,DC-München,Suez-Canal,Delivered,On-Time,-221,26821.53,1,4.5
Hartmann Foods GmbH,Pasta & Noodles,SKU-131,Thailand,DC-Berlin,Cape-of-Good-Hope,In-Transit,Port-Congestion,-186,23841.89,7,6.4
PacRim Ingredients,Baking Ingredients,SKU-192,China,DC-Mülheim,Cape-of-Good-Hope,Delayed,Route-Diversion,-643,4872.17,5,4.6
SolVita Mediterranean,Pasta & Noodles,SKU-107,Vietnam,DC-Mülheim,Air-Freight,Delayed,Port-Congestion,-19,25077.11,22,14.7
PacRim Ingredients,Canned Goods,SKU-142,Spain,DC-Berlin,Cape-of-Good-Hope,Delayed,On-Time,-186,4266.55,1,3.9
SolVita Mediterranean,Rice & Grains,SKU-073,Turkey,DC-Berlin,Cape-of-Good-Hope,Delayed,Customs-Hold,-411,11233.63,7,4.9
PacRim Ingredients,Beverages,SKU-096,Vietnam,DC-Hamburg,Hormuz-Strait,Delayed,On-Time,-334,38674.47,11,3.1
Hartmann Foods GmbH,Snacks & Nuts,SKU-069,Italy,DC-Hamburg,Air-Freight,Cancelled,On-Time,-271,1681.12,1,4.6
PacRim Ingredients,Beverages,SKU-017,Germany,DC-Hamburg,Cape-of-Good-Hope,Delivered,Port-Congestion,-594,26443.89,6,3.5
PacRim Ingredients,Baking Ingredients,SKU-102,Thailand,DC-Mülheim,Suez-Canal,In-Transit,Customs-Hold,-580,626.46,2,3.1
Hartmann Foods GmbH,Snacks & Nuts,SKU-114,Greece,DC-Mülheim,Air-Freight,Delivered,On-Time,-665,13472.31,0,2.6
Hartmann Foods GmbH,Canned Goods,SKU-173,China,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-606,14329.13,0,4.5
Hartmann Foods GmbH,Rice & Grains,SKU-151,China,DC-Hamburg,Air-Freight,Delivered,On-Time,-340,34550.29,1,4.6
PacRim Ingredients,Beverages,SKU-088,Spain,DC-München,Cape-of-Good-Hope,Delivered,On-Time,-337,35216.57,1,4
SolVita Mediterranean,Snacks & Nuts,SKU-068,Turkey,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-573,42046.04,0,4.4
Hartmann Foods GmbH,Snacks & Nuts,SKU-047,Vietnam,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-616,50280.05,3,2.3
Hartmann Foods GmbH,Snacks & Nuts,SKU-156,Italy,DC-Berlin,Hormuz-Strait,Cancelled,Carrier-Shortage,-265,32679.74,1,1.8
Hartmann Foods GmbH,Snacks & Nuts,SKU-145,Turkey,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-16,19169.74,2,11.8
PacRim Ingredients,Canned Goods,SKU-192,Turkey,DC-Mülheim,Air-Freight,In-Transit,On-Time,-674,16500.73,7,5
SolVita Mediterranean,Sauces & Condiments,SKU-106,China,DC-Stuttgart,Direct-EU,Delayed,Port-Congestion,-621,20386.09,3,2.2
PacRim Ingredients,Beverages,SKU-140,Vietnam,DC-Hamburg,Suez-Canal,Delivered,On-Time,-307,84473.26,4,2.3
SolVita Mediterranean,Canned Goods,SKU-102,Germany,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-208,9869.27,1,2.8
PacRim Ingredients,Beverages,SKU-060,Germany,DC-Hamburg,Hormuz-Strait,Delivered,On-Time,-382,63948.34,1,7.7
SolVita Mediterranean,Snacks & Nuts,SKU-129,Greece,DC-München,Hormuz-Strait,Delivered,On-Time,-655,41354.69,0,0.4
Hartmann Foods GmbH,Pasta & Noodles,SKU-173,Thailand,DC-München,Cape-of-Good-Hope,In-Transit,Customs-Hold,-467,17090.47,9,3.6
PacRim Ingredients,Pasta & Noodles,SKU-059,China,DC-München,Cape-of-Good-Hope,In-Transit,Weather,-629,18897.56,4,3.5
SolVita Mediterranean,Snacks & Nuts,SKU-177,Vietnam,DC-Berlin,Hormuz-Strait,Partially-Delivered,Weather,-391,8315.35,11,1.9
PacRim Ingredients,Baking Ingredients,SKU-119,Italy,DC-Mülheim,Suez-Canal,Delayed,On-Time,-519,37807.02,7,-0.3
PacRim Ingredients,Rice & Grains,SKU-159,Vietnam,DC-Berlin,Suez-Canal,Delivered,On-Time,-487,11743.6,1,2.1
SolVita Mediterranean,Baking Ingredients,SKU-002,Turkey,DC-Berlin,Hormuz-Strait,Cancelled,Hormuz-Closure,-556,4778.08,6,4.7
PacRim Ingredients,Sauces & Condiments,SKU-023,Germany,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-421,6288.01,1,4.7
Hartmann Foods GmbH,Pasta & Noodles,SKU-145,China,DC-München,Air-Freight,Delayed,Port-Congestion,-24,32510.44,36,15
SolVita Mediterranean,Pasta & Noodles,SKU-141,Spain,DC-München,Direct-EU,Delivered,On-Time,-223,206134.08,1,2.6
SolVita Mediterranean,Beverages,SKU-010,Greece,DC-Hamburg,Suez-Canal,Delivered,On-Time,-449,81656.77,1,1
SolVita Mediterranean,Baking Ingredients,SKU-130,Greece,DC-München,Hormuz-Strait,Delivered,Hormuz-Closure,-20,33752.14,23,10.8
Hartmann Foods GmbH,Sauces & Condiments,SKU-104,Vietnam,DC-Hamburg,Air-Freight,Delivered,On-Time,-684,12253.57,3,3.5
PacRim Ingredients,Canned Goods,SKU-151,Turkey,DC-Stuttgart,Hormuz-Strait,In-Transit,Hormuz-Closure,-585,156713.4,9,5.5
SolVita Mediterranean,Baking Ingredients,SKU-197,Thailand,DC-Hamburg,Direct-EU,Delivered,On-Time,-193,21924.72,4,5.1
Hartmann Foods GmbH,Beverages,SKU-122,Turkey,DC-Mülheim,Cape-of-Good-Hope,Delayed,Route-Diversion,-79,91703.88,12,12
Hartmann Foods GmbH,Snacks & Nuts,SKU-127,Greece,DC-Berlin,Hormuz-Strait,In-Transit,Weather,-656,29509.99,2,4.3
SolVita Mediterranean,Beverages,SKU-030,Spain,DC-München,Suez-Canal,Cancelled,On-Time,-313,10946.98,1,-0.4
SolVita Mediterranean,Snacks & Nuts,SKU-007,Spain,DC-Mülheim,Direct-EU,Cancelled,On-Time,-668,40107.36,4,-0.8
Hartmann Foods GmbH,Sauces & Condiments,SKU-134,Greece,DC-Hamburg,Cape-of-Good-Hope,Delayed,Port-Congestion,-701,3816.69,3,2.9
SolVita Mediterranean,Pasta & Noodles,SKU-121,Spain,DC-Stuttgart,Suez-Canal,In-Transit,On-Time,-609,18921.77,5,-0.4
SolVita Mediterranean,Baking Ingredients,SKU-132,Turkey,DC-Stuttgart,Hormuz-Strait,Delayed,On-Time,-154,24727.13,7,6.4
Hartmann Foods GmbH,Rice & Grains,SKU-029,Spain,DC-Berlin,Suez-Canal,Delayed,Route-Diversion,-108,4359.53,20,5.5
Hartmann Foods GmbH,Canned Goods,SKU-007,China,DC-Mülheim,Air-Freight,Delivered,Customs-Hold,-423,18680.76,4,4.5
SolVita Mediterranean,Snacks & Nuts,SKU-183,Greece,DC-Berlin,Air-Freight,Cancelled,On-Time,-406,20739.37,8,4.6
Hartmann Foods GmbH,Sauces & Condiments,SKU-171,Greece,DC-München,Cape-of-Good-Hope,Delivered,On-Time,-600,14086.53,0,5.9
PacRim Ingredients,Rice & Grains,SKU-029,Thailand,DC-Berlin,Cape-of-Good-Hope,In-Transit,Route-Diversion,-142,7928.14,5,5.7
PacRim Ingredients,Snacks & Nuts,SKU-080,Vietnam,DC-Hamburg,Hormuz-Strait,Delivered,On-Time,-564,42188.02,2,6.3
PacRim Ingredients,Sauces & Condiments,SKU-173,Vietnam,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-502,6846.84,3,2.5
Hartmann Foods GmbH,Baking Ingredients,SKU-025,Vietnam,DC-Hamburg,Direct-EU,Delivered,On-Time,-641,36373.57,0,2.3
PacRim Ingredients,Snacks & Nuts,SKU-180,Thailand,DC-Mülheim,Direct-EU,Delayed,On-Time,-641,16967.82,5,-0.3
Hartmann Foods GmbH,Beverages,SKU-111,Thailand,DC-Hamburg,Hormuz-Strait,Partially-Delivered,Hormuz-Closure,-8,101082.97,23,12.3
Hartmann Foods GmbH,Cooking Oils,SKU-091,Germany,DC-Stuttgart,Air-Freight,Partially-Delivered,Hormuz-Closure,-74,53329.73,30,15
SolVita Mediterranean,Sauces & Condiments,SKU-027,Thailand,DC-Berlin,Suez-Canal,In-Transit,On-Time,-571,4864.47,9,0.3
PacRim Ingredients,Pasta & Noodles,SKU-035,Turkey,DC-Stuttgart,Air-Freight,In-Transit,Weather,-255,11916.82,4,5.9
Hartmann Foods GmbH,Beverages,SKU-029,Germany,DC-Mülheim,Suez-Canal,Delayed,Carrier-Shortage,-138,18765.91,3,3.4
PacRim Ingredients,Baking Ingredients,SKU-103,Vietnam,DC-Berlin,Cape-of-Good-Hope,Partially-Delivered,Carrier-Shortage,-30,8925.41,21,12.8
Hartmann Foods GmbH,Pasta & Noodles,SKU-075,Vietnam,DC-Hamburg,Direct-EU,Partially-Delivered,Route-Diversion,-437,11830.97,5,0.1
PacRim Ingredients,Cooking Oils,SKU-079,Spain,DC-Stuttgart,Air-Freight,In-Transit,On-Time,-639,40117.25,7,4.8
PacRim Ingredients,Beverages,SKU-157,Thailand,DC-Berlin,Hormuz-Strait,Delivered,On-Time,-201,66469.51,1,4.4
PacRim Ingredients,Canned Goods,SKU-200,Greece,DC-Hamburg,Direct-EU,Delivered,On-Time,-195,10735.25,1,1.1
SolVita Mediterranean,Pasta & Noodles,SKU-036,China,DC-Stuttgart,Cape-of-Good-Hope,Delivered,On-Time,-350,2116.21,2,7.2
SolVita Mediterranean,Beverages,SKU-170,Turkey,DC-Hamburg,Air-Freight,Delivered,On-Time,-699,39303.25,3,2.8
Hartmann Foods GmbH,Beverages,SKU-074,Germany,DC-Hamburg,Hormuz-Strait,In-Transit,On-Time,-448,83336.84,4,0.7
PacRim Ingredients,Cooking Oils,SKU-121,Germany,DC-Mülheim,Hormuz-Strait,Delayed,Port-Congestion,-530,33735.6,13,5
PacRim Ingredients,Baking Ingredients,SKU-139,Germany,DC-Mülheim,Direct-EU,Delivered,On-Time,-201,24897.41,1,2.5
SolVita Mediterranean,Sauces & Condiments,SKU-019,Spain,DC-Mülheim,Direct-EU,Cancelled,Port-Congestion,-258,12126.73,1,3.7
Hartmann Foods GmbH,Baking Ingredients,SKU-004,Thailand,DC-Mülheim,Air-Freight,Partially-Delivered,Port-Congestion,-87,14315.28,20,10.8
SolVita Mediterranean,Rice & Grains,SKU-200,Vietnam,DC-Berlin,Air-Freight,Delivered,On-Time,-397,35627.03,2,5.4
Hartmann Foods GmbH,Snacks & Nuts,SKU-173,Turkey,DC-Hamburg,Hormuz-Strait,Delivered,On-Time,-388,60152.33,3,4.1
Hartmann Foods GmbH,Pasta & Noodles,SKU-029,Turkey,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-207,25086.74,1,1.7
PacRim Ingredients,Pasta & Noodles,SKU-058,Italy,DC-Hamburg,Suez-Canal,Delayed,Hormuz-Closure,-53,31407.5,29,10.9
PacRim Ingredients,Snacks & Nuts,SKU-139,Germany,DC-Hamburg,Hormuz-Strait,In-Transit,On-Time,-307,49387.86,6,1.2
Hartmann Foods GmbH,Snacks & Nuts,SKU-167,Germany,DC-Stuttgart,Hormuz-Strait,Delayed,Hormuz-Closure,-36,32806.01,27,11.7
PacRim Ingredients,Snacks & Nuts,SKU-001,Italy,DC-Mülheim,Hormuz-Strait,In-Transit,On-Time,-471,37601.46,11,2.8
Hartmann Foods GmbH,Baking Ingredients,SKU-034,Germany,DC-Hamburg,Direct-EU,Delayed,Customs-Hold,-58,63421.21,15,10.8
SolVita Mediterranean,Snacks & Nuts,SKU-022,Italy,DC-Berlin,Hormuz-Strait,In-Transit,On-Time,-178,27651.7,2,2.1
Hartmann Foods GmbH,Baking Ingredients,SKU-134,China,DC-Hamburg,Suez-Canal,Cancelled,Route-Diversion,-76,41425.04,23,9.6
SolVita Mediterranean,Pasta & Noodles,SKU-084,China,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-181,34069.2,2,-0.3
Hartmann Foods GmbH,Sauces & Condiments,SKU-038,Vietnam,DC-Stuttgart,Hormuz-Strait,Partially-Delivered,On-Time,-575,16489.43,0,2.5
SolVita Mediterranean,Canned Goods,SKU-056,Turkey,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-599,7203.74,0,4.7
PacRim Ingredients,Beverages,SKU-098,Thailand,DC-Berlin,Hormuz-Strait,Delivered,On-Time,-720,56039.42,0,2.9
SolVita Mediterranean,Rice & Grains,SKU-084,Turkey,DC-Berlin,Suez-Canal,Delayed,Hormuz-Closure,-51,49871.84,24,10.8
Hartmann Foods GmbH,Beverages,SKU-122,Greece,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-437,64589.63,1,3
PacRim Ingredients,Pasta & Noodles,SKU-005,Germany,DC-Stuttgart,Direct-EU,Delayed,Hormuz-Closure,-119,40843.14,6,2.4
SolVita Mediterranean,Pasta & Noodles,SKU-036,Italy,DC-Mülheim,Cape-of-Good-Hope,Delivered,On-Time,-372,13406.2,1,2.8
Hartmann Foods GmbH,Sauces & Condiments,SKU-104,Greece,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-537,3466.38,1,4
Hartmann Foods GmbH,Rice & Grains,SKU-099,Germany,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-529,10171.01,1,3.5
SolVita Mediterranean,Pasta & Noodles,SKU-074,Vietnam,DC-Berlin,Suez-Canal,Delivered,On-Time,-148,41339.72,4,2.2
SolVita Mediterranean,Snacks & Nuts,SKU-004,China,DC-München,Air-Freight,Delayed,Carrier-Shortage,-16,24889.31,30,15
Hartmann Foods GmbH,Snacks & Nuts,SKU-083,Germany,DC-Hamburg,Air-Freight,In-Transit,Weather,-158,4093.42,7,3.5
SolVita Mediterranean,Pasta & Noodles,SKU-124,Germany,DC-Hamburg,Cape-of-Good-Hope,Delivered,On-Time,-313,31528.57,1,7.3
Hartmann Foods GmbH,Pasta & Noodles,SKU-026,Germany,DC-Hamburg,Direct-EU,Delayed,Route-Diversion,-45,18221.22,35,11.4
PacRim Ingredients,Baking Ingredients,SKU-004,Germany,DC-München,Air-Freight,In-Transit,Hormuz-Closure,-474,22949.92,9,3.4
Hartmann Foods GmbH,Pasta & Noodles,SKU-040,Turkey,DC-Stuttgart,Cape-of-Good-Hope,Delivered,On-Time,-628,15091.16,0,2.4
SolVita Mediterranean,Rice & Grains,SKU-067,China,DC-Mülheim,Cape-of-Good-Hope,Delivered,On-Time,-288,40348.23,1,3.1
PacRim Ingredients,Cooking Oils,SKU-006,Vietnam,DC-Stuttgart,Air-Freight,Delayed,On-Time,-271,38568.52,8,1.4
PacRim Ingredients,Canned Goods,SKU-052,Vietnam,DC-Stuttgart,Suez-Canal,Partially-Delivered,On-Time,-322,14833.41,10,0.6
PacRim Ingredients,Cooking Oils,SKU-098,Vietnam,DC-München,Suez-Canal,Delivered,On-Time,-395,46704.26,1,0.1
SolVita Mediterranean,Pasta & Noodles,SKU-024,Germany,DC-Hamburg,Suez-Canal,Delivered,On-Time,-546,21115.84,1,2.6
SolVita Mediterranean,Cooking Oils,SKU-022,China,DC-Hamburg,Cape-of-Good-Hope,Delivered,On-Time,-370,32340.16,3,0.7
SolVita Mediterranean,Sauces & Condiments,SKU-018,Germany,DC-Stuttgart,Air-Freight,Partially-Delivered,Port-Congestion,-669,22504.39,1,3.7
PacRim Ingredients,Beverages,SKU-040,Thailand,DC-München,Air-Freight,Delivered,Weather,-449,54044.02,7,4.3
Hartmann Foods GmbH,Cooking Oils,SKU-104,Germany,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-174,13436.8,4,3.1
Hartmann Foods GmbH,Rice & Grains,SKU-027,Greece,DC-Stuttgart,Direct-EU,Delivered,On-Time,-237,5032.9,1,1.5
SolVita Mediterranean,Snacks & Nuts,SKU-032,Spain,DC-Mülheim,Direct-EU,Delivered,On-Time,-302,17885.2,2,1.6
PacRim Ingredients,Sauces & Condiments,SKU-023,Vietnam,DC-München,Suez-Canal,Delivered,On-Time,-167,10832.32,2,0.4
Hartmann Foods GmbH,Beverages,SKU-179,Vietnam,DC-Mülheim,Air-Freight,Delayed,On-Time,-1,59055.31,22,15
SolVita Mediterranean,Snacks & Nuts,SKU-039,Italy,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-333,22939.16,1,4.9
Hartmann Foods GmbH,Beverages,SKU-003,Spain,DC-Berlin,Direct-EU,Delayed,On-Time,-304,12421.15,4,3.1
PacRim Ingredients,Canned Goods,SKU-136,Germany,DC-Hamburg,Cape-of-Good-Hope,In-Transit,Port-Congestion,-409,8099.41,3,5.2
Hartmann Foods GmbH,Pasta & Noodles,SKU-026,Turkey,DC-Stuttgart,Suez-Canal,Partially-Delivered,Hormuz-Closure,-107,2607.83,18,2.4
SolVita Mediterranean,Pasta & Noodles,SKU-162,Greece,DC-Hamburg,Hormuz-Strait,Delivered,Customs-Hold,-368,29328.07,0,2.6
SolVita Mediterranean,Canned Goods,SKU-047,Italy,DC-München,Air-Freight,Delivered,On-Time,-355,24695.66,1,5.5
SolVita Mediterranean,Baking Ingredients,SKU-093,Germany,DC-Hamburg,Suez-Canal,Delivered,On-Time,-383,11399.53,1,1.7
PacRim Ingredients,Pasta & Noodles,SKU-166,Greece,DC-München,Hormuz-Strait,Delivered,On-Time,-351,16839.23,1,4.5
Hartmann Foods GmbH,Baking Ingredients,SKU-039,Italy,DC-Berlin,Direct-EU,Cancelled,On-Time,-545,142874.6,7,0.7
Hartmann Foods GmbH,Beverages,SKU-112,Spain,DC-München,Cape-of-Good-Hope,Delayed,On-Time,-715,37182.34,7,3.7
Hartmann Foods GmbH,Sauces & Condiments,SKU-169,China,DC-Stuttgart,Direct-EU,Delivered,On-Time,-261,5112.92,1,4.4
SolVita Mediterranean,Pasta & Noodles,SKU-128,Italy,DC-München,Direct-EU,In-Transit,Route-Diversion,-303,9147.13,6,3
PacRim Ingredients,Sauces & Condiments,SKU-021,Italy,DC-Hamburg,Cape-of-Good-Hope,Delivered,On-Time,-554,9571.26,0,2.9
PacRim Ingredients,Snacks & Nuts,SKU-062,Spain,DC-Mülheim,Cape-of-Good-Hope,Delivered,On-Time,-491,2812.65,1,3.9
SolVita Mediterranean,Beverages,SKU-063,Germany,DC-Mülheim,Direct-EU,Cancelled,On-Time,-622,7414.47,4,0
SolVita Mediterranean,Beverages,SKU-091,Greece,DC-Hamburg,Direct-EU,Delayed,On-Time,-668,30909.79,3,1.5
SolVita Mediterranean,Sauces & Condiments,SKU-180,China,DC-Hamburg,Direct-EU,Partially-Delivered,Route-Diversion,-520,16632.68,6,0.2
